folder,filename,view,expected,predicted,match,reasons
ObjectOnWB,10_Jun_2026_18_08_34_Back.jpg,back,ALARM,ALARM,YES,"ALARM: foreign object 'bus' detected (conf 0.36) - not a vehicle | ALARM: truck (conf 0.72) is OUTSIDE platform boundary at [(145, 350), (263, 350), (380, 350)]"
ObjectOnWB,10_Jun_2026_18_08_34_Front.jpg,front,ALARM,ALARM,YES,ALARM: foreign object 'person' detected (conf 0.88) - not a vehicle | ALARM: foreign object 'person' detected (conf 0.56) - not a vehicle | ALARM: foreign object 'person' detected (conf 0.44) - not a vehicle | OK: truck (conf 0.90) within boundary
ObjectOnWB,10_Jun_2026_18_08_39_Back.jpg,back,ALARM,ALARM,YES,"ALARM: truck (conf 0.79) is OUTSIDE platform boundary at [(144, 353), (262, 353), (379, 353)]"
ObjectOnWB,10_Jun_2026_18_08_39_Front.jpg,front,ALARM,ALARM,YES,ALARM: foreign object 'person' detected (conf 0.82) - not a vehicle | ALARM: foreign object 'person' detected (conf 0.72) - not a vehicle | OK: truck (conf 0.82) within boundary
ObjectOnWB,10_Jun_2026_18_08_42_Back.jpg,back,ALARM,ALARM,YES,"ALARM: truck (conf 0.74) is OUTSIDE platform boundary at [(145, 355), (262, 355), (379, 355)]"
ObjectOnWB,10_Jun_2026_18_08_42_Front.jpg,front,ALARM,ALARM,YES,ALARM: foreign object 'person' detected (conf 0.83) - not a vehicle | ALARM: foreign object 'person' detected (conf 0.82) - not a vehicle | OK: truck (conf 0.87) within boundary
PersonOnWB,10_Jun_2026_18_05_55_Back.jpg,back,ALARM,ALARM,YES,"ALARM: truck (conf 0.70) is OUTSIDE platform boundary at [(144, 349), (263, 349), (381, 349)]"
PersonOnWB,10_Jun_2026_18_05_55_Front.jpg,front,ALARM,ALARM,YES,ALARM: foreign object 'person' detected (conf 0.80) - not a vehicle | OK: truck (conf 0.86) within boundary
PersonOnWB,10_Jun_2026_18_06_20_Back.jpg,back,ALARM,ALARM,YES,"ALARM: foreign object 'person' detected (conf 0.39) - not a vehicle | ALARM: truck (conf 0.78) is OUTSIDE platform boundary at [(146, 356), (265, 356), (383, 356)]"
PersonOnWB,10_Jun_2026_18_06_20_Front.jpg,front,ALARM,ALARM,YES,ALARM: foreign object 'person' detected (conf 0.81) - not a vehicle | OK: truck (conf 0.74) within boundary
VehicleBackOutSideWB,10_Jun_2026_18_04_23_Back.jpg,back,ALARM,OK,NO,"OK: platform empty, nothing detected"
VehicleBackOutSideWB,10_Jun_2026_18_04_23_Front.jpg,front,ALARM,OK,NO,OK: truck (conf 0.82) within boundary
VehicleBackOutSideWB,10_Jun_2026_18_04_28_Back.jpg,back,ALARM,ALARM,YES,"ALARM: truck (conf 0.42) is OUTSIDE platform boundary at [(54, 423), (208, 423), (362, 423)]"
VehicleBackOutSideWB,10_Jun_2026_18_04_28_Front.jpg,front,ALARM,OK,NO,OK: truck (conf 0.71) within boundary
